,Vendor Code,Company,County,City,Zip,Vendor_Address,lat,lon
95,137235,JAMES ADAM TUCKER,In LA County,PASADENA,91103,"830  N PASADENA AVE, PASADENA, CA, 91103",34.1579696,-118.1604787
96,185659,"LA TRUCK & AUTO, INC.",In LA County,LOS ANGELES,90021,"825  E WASHINGTON BLVD, LOS ANGELES, CA, 90021",34.0265617,-118.2545898
97,168442,HOLOS INC,In LA County,N HOLLYWOOD,91606,"8221  LG, LP, N HOLLYWOOD, CA, 91606",,
98,119972,SPECTRUM ENVIRONMENTAL SERVICE,In LA County,N HOLLYWOOD,91605,"8216  LANKERSHIM BLVD , N HOLLYWOOD, CA, 91605",34.1868054,-118.3877736
99,166791,"ROSE EQUIPMENT REPAIR, INC.",In LA County,SANTA FE SPGS,90670,"8143  SECURA WAY, SANTA FE SPGS, CA, 90670",,
100,165245,SAN FERNANDO VALLEY ALARM INC,In LA County,SUN VALLEY,91352,"8111  SAN FERNANDO RD, SUN VALLEY, CA, 91352",34.2331016,-118.38721
101,118321,ACE ATTORNEY SERVICE INC,In LA County,LOS ANGELES,90017,"811  WILSHIRE BLVD , LOS ANGELES, CA, 90017",34.0497826,-118.2582443
102,183665,"SUNLIGHT MEDIA, LLC",In LA County,LOS ANGELES,90017,"811  W 7TH ST , LOS ANGELES, CA, 90017",34.0488496,-118.2588524
103,109274,"IMPACT SCIENCES, INC",In LA County,LOS ANGELES,90017,"811  W 7TH ST , LOS ANGELES, CA, 90017",34.0488496,-118.2588524
104,52182,FAST DEER BUS CHARTER INC,In LA County,MONTEBELLO,90640,"8105  SLAUSON AVE, MONTEBELLO, CA, 90640",33.975826,-118.1215909
105,511468,POWERS BROS MACHINE INC,In LA County,MONTEBELLO,90640,"8100  SLAUSON AVE., MONTEBELLO, CA, 90640",33.975429,-118.1224571
106,165245,SAN FERNANDO VALLEY ALARM INC,In LA County,SAN FERNANDO,91340,"804  PICO ST, SAN FERNANDO, CA, 91340",34.2797804,-118.4407613
107,165245,SAN FERNANDO VALLEY ALARM INC,In LA County,SAN FERNANDO,91340,"804  PICO ST, SAN FERNANDO, CA, 91340",34.2797804,-118.4407613
108,184822,SERVICE CONNECTED INC,In LA County,LOS ANGELES,90046,"8039  HEMET PL, LOS ANGELES, CA, 90046",34.1021345,-118.364531
109,173299,F.S.O.C. LLC,In LA County,EL SEGUNDO,90245,"803  EUCALYPTUS DR, EL SEGUNDO, CA, 90245",33.9271421,-118.4137945
110,182010,ESTOLANO ADVISORS,In LA County,LOS ANGELES,90017,"801  S. GRAND AVE, LOS ANGELES, CA, 90017",34.0455248,-118.2586725
111,196209,BETTER WORLD GROUP ADVISORS,In LA County,LOS ANGELES,90017,"801  S GRAND AVE , LOS ANGELES, CA, 90017",34.0455248,-118.2586725
112,182010,ESTOLANO ADVISORS,In LA County,LOS ANGELES,90017,"801  S GRAND AVE, LOS ANGELES, CA, 90017",34.0455248,-118.2586725
113,210395,"KB ELECTRIC MOTORS, LLC",In LA County,LOS ANGELES,90021,"801  E 8TH ST, LOS ANGELES, CA, 90021",34.031772,-118.241299
114,111107,THE WALL LAS MEMORIAS PROJECT,In LA County,LOS ANGELES,90017,"800  W 6TH ST, LOS ANGELES, CA, 90017",34.0501133,-118.2579611
115,124955,KAL KRISHNAN CONSULTING,In LA County,LOS ANGELES,90017,"800  S. FIGUEROA ST., , LOS ANGELES, CA, 90017",34.0475067,-118.2611076
116,59817,RAW INTERNATIONAL,In LA County,LOS ANGELES,90017,"800  S FIGUEROA ST, LOS ANGELES, CA, 90017",34.0475067,-118.2611076
117,173356,"ESSENTIAL CARES SUPPLIES, INC.",In LA County,LOS ANGELES,90021,"795  EAST WASHINGTON BLVD., LOS ANGELES, CA, 90021",34.0267606,-118.2550187
118,186048,VETERANS FIRST SUPPLY INC,Outside of LA County,FRESNO,93720,"7946  N MAPLE AVE , FRESNO, CA, 93720",36.8514725,-119.7476498
119,55539,M&M PAPER CO.,In LA County,VAN NUYS,91406,"7915  RUFFNER AVE, VAN NUYS, CA, 91406",,
120,513990,L.A. FAMILY HOUSING CORP,In LA County,NORTH HOLLYWOOD,91605,"7843  LANKERSHIM BLVD., NORTH HOLLYWOOD, CA, 91605",34.1868054,-118.3877736
121,160471,"AMERICAN WIRE, INC.",Outside of LA County,SN BERNRDNO,92408,"784  S LUGO AVE, SN BERNRDNO, CA, 92408",,
122,161153,JOE MELENDEZ,In LA County,LOS ANGELES,90001,"7822  WHITSETT AVE, LOS ANGELES, CA, 90001",33.9685656,-118.2404673
123,109365,"T & M PROJECTS, INC.",In LA County,SAN PEDRO,90731,"780  W. CHANNEL ST., SAN PEDRO, CA, 90731",,
124,161594,"ENERGY OPTIONS, INC.",In LA County,PARAMOUNT,90723,"7720  MADISON ST., PARAMOUNT, CA, 90723",33.890987,-118.1645499
125,166214,"OMEGA GRAPHICS PRINTING, INC.",In LA County,VAN NUYS,91405,"7710  KESTER AVENUE, VAN NUYS, CA, 91405",34.2105337,-118.4573664
126,202270,"PRIORITY AIRLESS EQUIPMENT, INC.",In LA County,VAN NUYS,91406,"7702  BALBOA BLVD, VAN NUYS, CA, 91406",,
127,503706,CHINATOWN SERVICE CENTER,In LA County,LOS ANGELES,90012,"767  N. HILL ST., LOS ANGELES, CA, 90012",34.062099,-118.2399777
128,5316,GENERAL INDUSTRIAL TOOL & SUPPLY INC,In LA County,BURBANK,91505,"7645  SAN FERNANDO RD, BURBANK, CA, 91505",34.2105112,-118.3554491
129,149632,"COMPUTER CONDIMENTS, INC.",In LA County,PANORAMA CITY,91402,"7618  WOODMAN AVE., , PANORAMA CITY, CA, 91402",34.2095968,-118.4312098
130,179973,TECHNION CONTRACTORS TCI INC.,In LA County,NORTHRIDGE,91325,"7618  JELLICO AVE, NORTHRIDGE, CA, 91325",34.2088336,-118.5173065
131,31896,RAYVERN LIGHTING SUPPLY CO,In LA County,PARAMOUNT,90723,"7617  SOMERST BLVD, PARAMOUNT, CA, 90723",,
132,167174,"MONET CONSTRUCTION, INC",In LA County,TUJUNGA,91042,"7610  DAY STREET, TUJUNGA, CA, 91042",34.253983,-118.2819547
133,503065,FIVE ACRES-THE BOYS & GIRLS AID SOCIETY,In LA County,ALTADENA,91001,"760  MOUNTAIN VIEW ST, ALTADENA, CA, 91001",34.1917496,-118.1657211
134,213131,ADRIAN CHAVEZ,In LA County,DOWNEY,90241,"7536  BROOKMILL RD, DOWNEY, CA, 90241",33.9421202,-118.1495116
135,29044,"JOHN LISEE PUMPS, INC.",In LA County,BELL GARDENS,90201,"7516  GARFIELD AVE, BELL GARDENS, CA, 90201",33.9632933,-118.1525279
136,174861,316 ENGINEERING AND CONSTRUCTION INC,In LA County,ROSEMEAD,91770,"7434  GARVALIA AVE, ROSEMEAD, CA, 91770",34.0582012,-118.0913733
137,190074,MEDZ VENTURES INC,In LA County,GLENDALE,91203,"743  MILFORD ST, GLENDALE, CA, 91203",34.152297,-118.2715042
138,190074,MEDZ VENTURES INC,In LA County,GLENDALE,91203,"743  MILFORD ST, GLENDALE, CA, 91203",34.152297,-118.2715042
139,196036,HALTONE INC,In LA County,N HOLLYWOOD,91605,"7332  LAUREL CANYON BLVD, N HOLLYWOOD, CA, 91605",34.186247,-118.3965813
140,503078,NEW DIRECTIONS FOR YOUTH,In LA County,NORTH HOLLYWOOD,91605,"7315  LANKERSHIM BLVD, NORTH HOLLYWOOD, CA, 91605",34.1868054,-118.3877736
141,185192,"JONCICH STURM AND ASSOCIATES, INC.",In LA County,RLLNG HLS EST,90274,"727  SILVER SPUR RD, RLLNG HLS EST, CA, 90274",,
142,56965,WOODS MAINTENANCE SERVICES INC,In LA County,NORTH HOLLYWOOD,91605,"7250  COLDWATER CANYON AVE, NORTH HOLLYWOOD, CA, 91605",34.2021082,-118.4136915
143,56965,WOODS MAINTENANCE SERVICES INC,In LA County,NORTH HOLLYWOOD,91605,"7250  COLDWATER CANYON AVE, NORTH HOLLYWOOD, CA, 91605",34.2021082,-118.4136915
144,173924,ALLIANCE FOR COMMUNITY EMPOWERMENT,In LA County,CANOGA PARK,91303,"7227  OWENSMOUTH AVE, CANOGA PARK, CA, 91303",34.2015621,-118.6016671
145,177303,"LA VERNE POWER EQUIPMENT, INC.",In LA County,LA VERNE,91750,"720  ARROW HWY, LA VERNE, CA, 91750",34.091598,-117.760539
146,120288,"SIMPSON & SIMPSON MANAGEMENT CONSULTING, INC",In LA County,ALHAMBRA,91803,"718  S. DATE AVE., ALHAMBRA, CA, 91803",,
147,120288,"SIMPSON & SIMPSON MANAGEMENT CONSULTING, INC",In LA County,ALHAMBRA,91803,"718  S DATE AVE , ALHAMBRA, CA, 91803",,
148,60682,CONVERSE PROFESSIONAL GROUP,In LA County,MONROVIA,91016,"717  S  MYRTLE AVENUE, MONROVIA, CA, 91016",34.1446374,-118.0010437
149,165571,"HONGJOO KIM LANDSCAPE ARCHITECTS, INC.",In LA County,LOS ANGELES,90015,"714  WEST OLYMPIC BLVD, LOS ANGELES, CA, 90015",34.0440948,-118.26335
